original sample 1: room, desk, bed, shelf, computer, book,
new sample 1: room, bedside, desk, bed, shelf, lamp,
original sample 2: room, bedside, bed, shelf, bag, toy,
new sample 2: room, bedside, desk, bed, computer, lamp,
original sample 3: room, desk, bed, shelf, computer, toy,
new sample 3: room, desk, bed, chair, shelf, book,
original sample 4: room, bedside, bed, lamp, bag, lamp,
new sample 4: room, desk, bed, bottle, dresser, bed,
original sample 5: room, bedside, bed, trash can, lamp, bedside,
new sample 5: room, desk, bed, computer, book, dresser,
original sample 6: room, bedside, desk, bed, bottle, book,
new sample 6: room, desk, bed, chair, bottle, book,
original sample 7: room, bedside, bed, lamp, luggage, bedside,
new sample 7: room, bedside, tv, bed, lamp, dresser,
original sample 8: room, cabinet, desk, bed, bottle, book,
new sample 8: room, painting, desk, bed, computer, dresser,
original sample 9: room, bedside, bed, lamp, bedside, lamp,
new sample 9: room, desk, bed, bottle, book, bed,
original sample 10: room, bedside, desk, bed, computer, bag,
new sample 10: room, bedside, desk, bed, computer, bedside,
original sample 11: room, bedside, bed, shelf, book, bed,
new sample 11: room, desk, bed, computer, bottle, book,
original sample 12: room, bedside, bed, table, book, bed,
new sample 12: room, bedside, desk, shelf, lamp, book,
original sample 13: room, bedside, bed, trash can, lamp, bed,
new sample 13: room, painting, desk, bed, sofa, dresser,
original sample 14: room, bedside, bed, shelf, toy, bed,
new sample 14: room, painting, desk, bed, shelf, book,
original sample 15: room, bed, chair, trash can, luggage, chair,
new sample 15: room, bedside, tv, desk, computer, dresser,
