original sample 1: room, desk, bed, shelf, computer, book,
new sample 1: room, bedside, desk, bed, computer, dresser,
original sample 2: room, bedside, bed, shelf, bag, toy,
new sample 2: room, bedside, desk, bed, bottle, dresser,
original sample 3: room, desk, bed, shelf, computer, toy,
new sample 3: room, bedside, desk, bed, lamp, bottle,
original sample 4: room, bedside, bed, lamp, bag, lamp,
new sample 4: room, bedside, tv, bed, lamp, dresser,
original sample 5: room, bedside, bed, trash can, lamp, bedside,
new sample 5: room, desk, bed, chair, table, book,
original sample 6: room, bedside, desk, bed, bottle, book,
new sample 6: room, painting, desk, bed, shelf, toy,
original sample 7: room, bedside, bed, lamp, luggage, bedside,
new sample 7: room, bedside, desk, bed, chair, bottle,
original sample 8: room, cabinet, desk, bed, bottle, book,
new sample 8: room, painting, desk, chair, bottle, dresser,
original sample 9: room, bedside, bed, lamp, bedside, lamp,
new sample 9: room, desk, chair, shelf, toy, bottle,
original sample 10: room, bedside, desk, bed, computer, bag,
new sample 10: room, bedside, desk, bed, chair, book,
original sample 11: room, bedside, bed, shelf, book, bed,
new sample 11: room, desk, bed, chair, book, chair,
original sample 12: room, bedside, bed, table, book, bed,
new sample 12: room, painting, bedside, desk, bed, book,
original sample 13: room, bedside, bed, trash can, lamp, bed,
new sample 13: room, painting, cabinet, desk, bottle, dresser,
original sample 14: room, bedside, bed, shelf, toy, bed,
new sample 14: room, cabinet, desk, chair, bottle, bottle,
original sample 15: room, bed, chair, trash can, luggage, chair,
new sample 15: room, desk, chair, computer, table, book,
original sample 16: room, bedside, bed, trash can, shelf, bed,
new sample 16: room, painting, desk, sofa, computer, dresser,
original sample 17: room, tv, desk, bed, shelf, dresser,
new sample 17: room, painting, cabinet, desk, shelf, book,
original sample 18: room, desk, bed, chair, sofa, bottle,
new sample 18: room, bedside, bed, chair, lamp, book,
original sample 19: room, bedside, desk, bed, luggage, bedside,
new sample 19: room, painting, bed, chair, bag, dresser,
original sample 20: room, bedside, bed, lamp, bed, lamp,
new sample 20: room, bedside, bed, shelf, lamp, lamp,
original sample 21: room, bedside, bed, lamp, dresser, lamp,
new sample 21: room, painting, cabinet, desk, bottle, bottle,
original sample 22: room, painting, desk, bed, shelf, book,
new sample 22: room, bedside, bed, lamp, book, lamp,
original sample 23: room, bed, chair, shelf, bag, chair,
new sample 23: room, painting, cabinet, desk, shelf, toy,
original sample 24: room, desk, bed, chair, table, bottle,
new sample 24: room, desk, chair, bottle, dresser, chair,
original sample 25: room, bedside, desk, bed, bottle, bed,
new sample 25: room, cabinet, desk, trash can, bottle, bottle,
original sample 26: room, bedside, bed, shelf, lamp, bed,
new sample 26: room, painting, bedside, bed, lamp, lamp,
original sample 27: room, bedside, bed, lamp, bedside, bed,
new sample 27: room, bedside, desk, bed, chair, bedside,
original sample 28: room, bedside, desk, bed, lamp, bedside,
new sample 28: room, painting, desk, chair, dresser, chair,
original sample 29: room, bedside, desk, bed, trash can, bed,
new sample 29: room, painting, desk, sofa, shelf, bottle,
original sample 30: room, bed, chair, shelf, luggage, chair,
new sample 30: room, painting, desk, bed, chair, painting,
original sample 31: room, bedside, desk, bed, book, bed,
new sample 31: room, painting, desk, shelf, book, painting,
original sample 32: room, painting, bedside, bed, lamp, book,
new sample 32: room, bedside, bed, lamp, book, bedside,
original sample 33: room, bedside, desk, bed, computer, bed,
new sample 33: room, bedside, bed, shelf, book, bedside,
original sample 34: room, bedside, bed, chair, shelf, toy,
new sample 34: room, painting, desk, shelf, table, book,
original sample 35: room, painting, desk, bed, shelf, computer,
new sample 35: room, bedside, desk, chair, shelf, dresser,
original sample 36: room, painting, bedside, bed, trash can, lamp,
new sample 36: room, bedside, bed, lamp, bag, lamp,
original sample 37: room, painting, desk, bed, book, dresser,
new sample 37: room, painting, desk, chair, computer, chair,
original sample 38: room, painting, tv, desk, bed, dresser,
new sample 38: room, bedside, desk, bed, book, bedside,
original sample 39: room, bedside, bed, chair, lamp, luggage,
new sample 39: room, bedside, bed, chair, lamp, lamp,
original sample 40: room, painting, bedside, bed, shelf, bag,
new sample 40: room, bedside, bed, shelf, toy, bedside,
original sample 41: room, bedside, desk, bed, chair, bottle,
new sample 41: room, painting, desk, bed, shelf, painting,
original sample 42: room, bedside, bed, lamp, dresser, bed,
new sample 42: room, painting, desk, bed, book, bed,
original sample 43: room, bedside, bed, chair, lamp, lamp,
new sample 43: room, painting, desk, chair, shelf, chair,
original sample 44: room, bedside, bed, dresser, bedside, bed,
new sample 44: room, bedside, desk, chair, lamp, bottle,
original sample 45: room, desk, bed, chair, bottle, dresser,
new sample 45: room, desk, bed, chair, bottle, bed,
original sample 46: room, bedside, bed, chair, lamp, chair,
new sample 46: room, bedside, bed, lamp, table, lamp,
original sample 47: room, painting, bedside, bed, lamp, lamp,
new sample 47: room, painting, tv, shelf, dresser, painting,
original sample 48: room, bedside, bed, chair, book, bed,
new sample 48: room, painting, bed, shelf, book, bed,
original sample 49: room, desk, bed, chair, trash can, dresser,
new sample 49: room, painting, desk, bed, computer, bed,
original sample 50: room, painting, bed, table, painting, bed,
new sample 50: room, painting, shelf, toy, luggage, dresser,
