original sample 1: room, desk, bed, shelf, computer, book,
new sample 1: room, bedside, bed, shelf, lamp, book,
original sample 2: room, bedside, bed, shelf, bag, toy,
new sample 2: room, bedside, bed, lamp, bag, lamp,
original sample 3: room, desk, bed, shelf, computer, toy,
new sample 3: room, bed, shelf, table, book, bed,
original sample 4: room, bedside, bed, lamp, bag, lamp,
new sample 4: room, bedside, desk, bed, computer, lamp,
original sample 5: room, bedside, bed, trash can, lamp, bedside,
new sample 5: room, bedside, bed, lamp, bedside, lamp,
original sample 6: room, bedside, desk, bed, bottle, book,
new sample 6: room, bed, sofa, shelf, toy, bed,
original sample 7: room, bedside, bed, lamp, luggage, bedside,
new sample 7: room, bedside, bed, shelf, lamp, bedside,
original sample 8: room, cabinet, desk, bed, bottle, book,
new sample 8: room, bedside, bed, shelf, luggage, bedside,
original sample 9: room, bedside, bed, lamp, bedside, lamp,
new sample 9: room, bedside, bed, shelf, table, bedside,
original sample 10: room, bedside, desk, bed, computer, bag,
new sample 10: room, desk, bed, table, book, bed,
original sample 11: room, bedside, bed, shelf, book, bed,
new sample 11: room, bedside, bed, lamp, luggage, bed,
original sample 12: room, bedside, bed, table, book, bed,
new sample 12: room, bedside, bed, shelf, toy, bed,
original sample 13: room, bedside, bed, trash can, lamp, bed,
new sample 13: room, bedside, bed, lamp, dresser, lamp,
original sample 14: room, bedside, bed, shelf, toy, bed,
new sample 14: room, bedside, cabinet, bed, sofa, lamp,
original sample 15: room, bed, chair, trash can, luggage, chair,
new sample 15: room, bedside, bed, chair, book, chair,
original sample 16: room, bedside, bed, trash can, shelf, bed,
new sample 16: room, bed, chair, trash can, shelf, table,
original sample 17: room, tv, desk, bed, shelf, dresser,
new sample 17: room, desk, bed, computer, table, bed,
original sample 18: room, desk, bed, chair, sofa, bottle,
new sample 18: room, bedside, bed, shelf, lamp, bed,
original sample 19: room, bedside, desk, bed, luggage, bedside,
new sample 19: room, bedside, bed, shelf, lamp, dresser,
original sample 20: room, bedside, bed, lamp, bed, lamp,
new sample 20: room, desk, bed, shelf, toy, bed,
original sample 21: room, bedside, bed, lamp, dresser, lamp,
new sample 21: room, bedside, bed, shelf, table, bed,
original sample 22: room, painting, desk, bed, shelf, book,
new sample 22: room, bedside, bed, chair, lamp, lamp,
original sample 23: room, bed, chair, shelf, bag, chair,
new sample 23: room, bedside, desk, bed, book, bed,
original sample 24: room, desk, bed, chair, table, bottle,
new sample 24: room, bedside, desk, bed, computer, bed,
original sample 25: room, bedside, desk, bed, bottle, bed,
new sample 25: room, bedside, desk, bed, lamp, dresser,
original sample 26: room, bedside, bed, shelf, lamp, bed,
new sample 26: room, desk, bed, shelf, bag, bed,
original sample 27: room, bedside, bed, lamp, bedside, bed,
new sample 27: room, bedside, desk, bed, table, bed,
original sample 28: room, bedside, desk, bed, lamp, bedside,
new sample 28: room, bedside, bed, chair, shelf, lamp,
original sample 29: room, bedside, desk, bed, trash can, bed,
new sample 29: room, painting, bed, shelf, book, painting,
original sample 30: room, bed, chair, shelf, luggage, chair,
new sample 30: room, desk, bed, chair, shelf, toy,
original sample 31: room, bedside, desk, bed, book, bed,
new sample 31: room, bedside, bed, chair, shelf, luggage,
original sample 32: room, painting, bedside, bed, lamp, book,
new sample 32: room, painting, bedside, bed, trash can, lamp,
original sample 33: room, bedside, desk, bed, computer, bed,
new sample 33: room, bedside, bed, shelf, bedside, bed,
original sample 34: room, bedside, bed, chair, shelf, toy,
new sample 34: room, painting, bed, sofa, bag, bed,
original sample 35: room, painting, desk, bed, shelf, computer,
new sample 35: room, bedside, cabinet, bed, lamp, bedside,
original sample 36: room, painting, bedside, bed, trash can, lamp,
new sample 36: room, bed, shelf, toy, dresser, bed,
original sample 37: room, painting, desk, bed, book, dresser,
new sample 37: room, painting, bedside, bed, sofa, lamp,
original sample 38: room, painting, tv, desk, bed, dresser,
new sample 38: room, bedside, desk, bed, chair, book,
original sample 39: room, bedside, bed, chair, lamp, luggage,
new sample 39: room, painting, bed, shelf, book, bed,
original sample 40: room, painting, bedside, bed, shelf, bag,
new sample 40: room, painting, bedside, bed, shelf, book,
original sample 41: room, bedside, desk, bed, chair, bottle,
new sample 41: room, painting, bedside, bed, lamp, bag,
original sample 42: room, bedside, bed, lamp, dresser, bed,
new sample 42: room, bedside, bed, chair, book, bed,
original sample 43: room, bedside, bed, chair, lamp, lamp,
new sample 43: room, bedside, desk, bed, chair, lamp,
original sample 44: room, bedside, bed, dresser, bedside, bed,
new sample 44: room, painting, desk, bed, book, painting,
original sample 45: room, desk, bed, chair, bottle, dresser,
new sample 45: room, bedside, bed, lamp, dresser, bed,
original sample 46: room, bedside, bed, chair, lamp, chair,
new sample 46: room, desk, bed, chair, table, chair,
original sample 47: room, painting, bedside, bed, lamp, lamp,
new sample 47: room, bedside, desk, bed, chair, table,
original sample 48: room, bedside, bed, chair, book, bed,
new sample 48: room, bedside, bed, chair, shelf, bedside,
original sample 49: room, desk, bed, chair, trash can, dresser,
new sample 49: room, bed, chair, trash can, shelf, bed,
original sample 50: room, painting, bed, table, painting, bed,
new sample 50: room, painting, bedside, bed, lamp, lamp,
