id,name,furnitureType,subordinateFurnitureType,itemWidth,itemHeight,itemLength
ashleyfurniture.1180120,Zia - Spa Chair,Chair,,1.016,0.9398,0.9652
ashleyfurniture.1180320,Zia - Mocha Chair,Chair,,1.016,0.9398,0.9652
ashleyfurniture.1180420,Zia - Salsa Chair,Chair,,1.016,0.9398,0.9652
ashleyfurniture.1260023,Richland - Amber Oversized Chair,Chair,,1.4224,0.9906,1.016
ashleyfurniture.1280420,Atmore - Pewter Chair,Chair,,0.9398,0.9652,0.9906
ashleyfurniture.1390325,Duraplush - Mocha Rocker Recliner,Chair,Recliner,1.016,1.0668,1.0668
ashleyfurniture.1540060,Bradington - Truffle Chair,Chair,AccentChair,0.7112,0.9652,0.7874
ashleyfurniture.1880020,Danielle - Eggplant Chair,Chair,,0.889,0.889,0.9398
ashleyfurniture.1880021,Danielle - Eggplant Accent Chair,Chair,AccentChair,0.889,0.889,0.9144
ashleyfurniture.1940123,Logan - Stone Oversized Chair,Chair,,1.397,0.9906,0.9144
ashleyfurniture.1990026,Santa Fe - Bark Recliner,Chair,Recliner,0.8636,1.0922,0.9906
ashleyfurniture.1990126,Santa Fe - Chocolate Recliner,Chair,Recliner,0.8636,1.0922,0.9906
ashleyfurniture.2050014,Palmer - Walnut Ottoman,Ottoman,,1.1176,0.4572,0.5842
ashleyfurniture.2050023,Palmer - Walnut Oversized Chair,Chair,,1.4224,0.9906,1.016
ashleyfurniture.2050035,Palmer - Walnut Loveseat,Couch,Loveseat,1.905,0.9906,1.016
ashleyfurniture.2050038,Palmer - Walnut Sofa,Couch,,2.5654,0.9906,1.016
ashleyfurniture.2220025,DuraBlend® - Cafe Rocker Recliner,Chair,Recliner,0.9652,1.0414,1.0668
ashleyfurniture.2260316,North Shore - Dark Brown Chaise,Chair,Chaise,1.778,0.889,1.016
ashleyfurniture.2260335,North Shore - Dark Brown Loveseat,Couch,Loveseat,1.7526,1.0668,0.9906
ashleyfurniture.2260338,North Shore - Dark Brown Sofa,Couch,,2.413,1.0668,0.9906
ashleyfurniture.2260360,North Shore - Dark Brown Chair,Chair,AccentChair,0.7366,1.0922,0.8128
ashleyfurniture.2450031,Margo - Black Comfort Lounger,Chair,Recliner,0.762,1.0414,0.8636
ashleyfurniture.2490031,Manning DuraBlend® - Brindle Comfort Lounger,Chair,Recliner,0.9144,1.0668,0.889
ashleyfurniture.2490131,Manning DuraBlend® - Mahogany Comfort Lounger,Chair,Recliner,0.9144,1.0668,0.889
ashleyfurniture.2810031,Maddox - Walnut Comfort Lounger,Chair,Recliner,0.8636,1.0668,0.9144
ashleyfurniture.3000211,Aero - Ivory Ottoman,Ottoman,,0.8636,0.4318,0.5842
ashleyfurniture.3000246,Aero - Ivory Armless Chair,Chair,,0.8128,0.9398,0.9906
ashleyfurniture.3000251,Aero - Ivory Corner Chair,Chair,,0.9906,0.9398,0.9906
ashleyfurniture.3040025,Grover - Cafe Rocker Recliner,Chair,Recliner,0.8636,1.0668,1.0668
ashleyfurniture.3090023,Frontier - Canyon Oversized Chair,Chair,,1.524,1.016,0.9906
ashleyfurniture.3150025,Presley - Espresso Rocker Recliner,Chair,Recliner,0.9652,1.0414,1.0668
ashleyfurniture.3150036,Presley - Espresso Full Sofa Sleeper,Couch,Sleeper,2.1336,1.0414,1.0668
ashleyfurniture.3150125,Presley - Cocoa Rocker Recliner,Chair,Recliner,0.9652,1.0414,1.0668
ashleyfurniture.3150136,Presley - Cocoa Full Sofa Sleeper,Couch,Sleeper,2.1336,1.0414,1.0668
ashleyfurniture.3180120,Circa - Taupe Chair,Chair,,0.889,0.9906,1.0414
ashleyfurniture.3180160,Circa - Taupe Accent Chair,Chair,AccentChair,0.7112,1.0414,0.8636
ashleyfurniture.3240020,Townhouse - Tawny Chair,Chair,,1.0922,0.9906,0.9652
ashleyfurniture.3260123,Burlington - Sienna Oversized Chair,Chair,,1.4224,0.9906,1.016
ashleyfurniture.3330025,Macie - Brown Rocker Recliner,Chair,Recliner,1.016,1.016,0.9652
